state_ut,exp_hh,exp_onl_hh,exp_onl_%_hh,internet_has,op_fuel,op_cons,op_educ,op_meds,op_other,educ_mem,educ_free_book,educ_free_book#,educ_free_pap,educ_free_pap#,educ_free_bag,educ_free_bag#,educ_free_other,educ_free_other#,educ_free_tuit,educ_free_tuit#,educ_att_mean,educ_att_med,educ_att_std,has_tv,has_radio,has_laptop,has_mobile_dev,has_bicycle,has_scooter,has_motorcar,has_truck,has_animalcar,has_fridge,has_washmach,has_aircon,land_owns,land_agr_owns,pay_cd,pay_cd_used,pay_ewal,pay_ewal_used,acct_comm,acct_post,acct_nbfc,acct_nia,reg_loan_val_sd,reg_loan_val_acq,reg_loan_val_disp,reg_loan_val_aa,reg_loan_year_borr,reg_loan_amt_borr,reg_loan_ten,reg_loan_aroi,reg_loan_amt_out,kind_loan_per,kind_loan_amt_out,kind_loan_src_pro,kind_loan_src_supp,kind_loan_src_other,kind_loan_src_f&f,dig_soc_fb,dig_soc_ig,dig_soc_wa,su_ai,su_arvr,su_adv,su_space,su_agri,su_air,su_meas,su_anim,su_arch,su_art,su_auto,su_biotech,su_chem,su_cv,su_cons,su_dating,su_design,su_educ,su_saas,su_events,su_fashion,su_fintech,su_f&b,su_greentech,su_healthcare,su_hhs,su_hr,su_it,su_inlang,su_iot,su_log,su_mark,su_media,su_nanotech,su_nre,su_or,su_others,su_pass,su_pets,su_pcs,su_realestate,su_energy,su_retail,su_robot,su_safety,su_sec,su_socimp,su_socnet,su_sports,su_hard,su_telecom,su_text,su_toys,su_storage,su_travel,su_wm
Andaman and Nicobar Islands,18185.130581297388,738.1149957877001,0.03279854993285243,0.76,0.046,0.001,0.026,0.003,0.318,0.485,0.184,10.521739130434783,0.003,1.3333333333333333,0.0,,0.0,,0.09484536082474226,1.391304347826087,5.669448183041723,5.0,3.2463924042916914,0.871,0.024,0.096,0.973,0.104,0.474,0.125,0.0,0.001,0.778,0.523,0.029,0.12557286892758937,0.3795620437956204,0.6823104693140795,0.9435626102292769,0.02286401925391095,0.8421052631578947,0.8982584784601283,0.021998166819431713,0.0,0.0,256750.0,28350.0,0.0,242575.0,2016.4493670886077,431033.67003367003,2.632911392405063,10.128354430379746,300286.1554054054,2.3333333333333335,86733.33333333333,0.0,0.08333333333333333,0.3333333333333333,0.08333333333333333,,,,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,7.0,0.0,1.0,1.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,15.0,0.0
Andhra Pradesh,10379.341859619348,354.1720612599507,0.02923787438416988,0.6678984732082077,0.08032675289312458,0.009044053291840902,0.001750461927453078,0.0028201886608966256,0.34250705047165225,0.4222503160556258,0.17582417582417584,9.749446902654867,0.047456967810950115,5.157786885245901,0.17154526889040164,1.5697278911564625,0.1300204220558203,2.7262528047868364,0.28466144633809304,1.122168284789644,4.45885786727203,4.0,3.462681422257497,0.8249538072546923,0.0016532140425945736,0.034231255470193525,0.9326072157930565,0.1664883788777594,0.5785276670232422,0.025478945832928132,0.0007779830788680346,0.0050568900126422255,0.5097734124282797,0.179714091218516,0.17028104638724106,0.2522282825595317,0.4092827004219409,0.44383416017009214,0.7728542914171657,0.08637491141034727,0.9641025641025641,0.716110150325928,0.05268059066116802,0.001995476918983637,0.004988692297459092,576308.8950749465,423114.74860335194,10439.416058394161,341288.40692640695,2017.5328783304897,156249.690816881,2.091064164807768,18.957285133184623,149889.7616570855,2.1136363636363638,16283.95321637427,0.005847953216374269,0.347953216374269,0.13450292397660818,0.02631578947368421,284.1818181818182,1267.909090909091,1865.6363636363637,57.0,9.0,14.0,34.0,212.0,0.0,16.0,4.0,9.0,5.0,76.0,27.0,18.0,3.0,167.0,1.0,14.0,175.0,32.0,8.0,17.0,53.0,136.0,51.0,194.0,14.0,41.0,392.0,6.0,40.0,17.0,45.0,23.0,4.0,54.0,21.0,42.0,0.0,2.0,113.0,13.0,62.0,42.0,23.0,3.0,13.0,11.0,10.0,7.0,90.0,19.0,22.0,8.0,39.0,28.0,17.0
Arunachal Pradesh,12365.621288921071,617.8088341781317,0.04064904030908529,0.5105695100721214,0.07361352897289232,0.024620741109176822,0.015170355632927133,0.004725192738124845,0.3228052723203183,0.604575976125342,0.2810246207411092,9.260176991150443,0.0014921661278288984,2.8333333333333335,0.002735637901019647,1.6363636363636365,0.030092016911216116,2.809917355371901,0.07774578362813657,1.6455026455026456,5.1196284053345495,5.0,3.347524744311257,0.7304153195722457,0.027605073364834618,0.12782889828400895,0.9445411589156926,0.1305645361850286,0.4543645859238995,0.20641631434966426,0.0007460830639144492,0.0002486943546381497,0.30987316587913455,0.11738373538920667,0.017905993533946778,0.25142296368989203,0.7392661982825918,0.5105996365838885,0.9466192170818505,0.03331314354936402,0.9818181818181818,0.6274779195289499,0.04946025515210991,0.001962708537782139,0.011187438665358195,96000.0,6625.0,0.0,93350.0,2017.495682210708,121387.33273862622,1.994818652849741,6.033937823834197,62719.705765407554,3.1219512195121952,27446.341463414636,0.0,0.04878048780487805,0.0975609756097561,0.35365853658536583,,,,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
Assam,9673.787112241902,283.0342009981407,0.023979636701012188,0.7826442419995329,0.02219107685120299,0.005606166783461808,0.007241298761971502,0.003971034804952114,0.21455267460873628,0.6069843494510628,0.4014249007241299,9.044515565900495,0.04858677879000234,5.0889423076923075,0.09950946040644709,1.4917840375586855,0.17811259051623451,2.63344262295082,0.17606311333461613,1.6010928961748634,4.733329813631804,5.0,2.753995433375921,0.5809390329362298,0.018453632328895117,0.05430974071478627,0.9709180098107919,0.6520672740014015,0.31114225648213034,0.06085026862882504,0.000583975706610605,0.006190142490072413,0.19399672973604298,0.05501051156271899,0.016701705209063302,0.21903486963727928,0.5625727590221188,0.47373323397913564,0.8257963035784507,0.03977272727272727,0.8758782201405152,0.586536622681201,0.020144068336839422,0.004398546567221266,0.000828711672085166,45000.0,24000.0,,21000.0,2017.7379166666667,130344.62354235424,2.0304166666666665,13.323870833333334,110030.7067200712,2.125,5121.595744680851,0.0,0.2553191489361702,0.0425531914893617,0.2127659574468085,638.5,622.3,1749.1,13.0,1.0,13.0,7.0,148.0,0.0,5.0,1.0,5.0,1.0,23.0,7.0,17.0,2.0,197.0,0.0,11.0,105.0,8.0,4.0,15.0,21.0,94.0,28.0,134.0,14.0,15.0,97.0,4.0,3.0,4.0,25.0,23.0,2.0,51.0,9.0,38.0,1.0,5.0,65.0,8.0,21.0,35.0,1.0,2.0,16.0,17.0,4.0,4.0,21.0,11.0,26.0,4.0,34.0,57.0,10.0
Bihar,8892.085377988109,195.87096226186142,0.017171555071227848,0.5535381750465549,0.02397579143389199,0.005935754189944134,0.007041433891992552,0.005528398510242086,0.087756052141527,0.5567970204841713,0.06977420856610801,6.9191666666666665,0.004248137802607076,6.013698630136986,0.00215316573556797,1.945945945945946,0.011522346368715084,2.1262626262626263,0.07012959866220736,2.0253353204172875,4.011612171961925,3.0,3.0936017436875662,0.40118715083798884,0.025314245810055865,0.021589851024208566,0.961883147113594,0.7015828677839852,0.3291433891992551,0.013093575418994413,0.0004073556797020484,0.003957169459962756,0.10643621973929236,0.04108472998137803,0.0327048417132216,0.20289452484791246,0.507803943044907,0.28716277385478906,0.7772698612862547,0.044450479811696544,0.9338085539714868,0.5946276285452373,0.011055862662851745,0.0011389205255701548,0.001444484569015806,380253.275,70003.125,41379.31034482759,354250.775,2017.2305772749958,79426.20349702382,2.196841230257689,18.783893599334995,71339.52389014297,1.9155405405405406,4809.379661016949,0.01694915254237288,0.15338983050847457,0.16186440677966102,0.1694915254237288,81.14285714285714,401.7857142857143,968.2857142857143,23.0,3.0,24.0,19.0,249.0,0.0,4.0,2.0,15.0,17.0,46.0,6.0,16.0,4.0,605.0,6.0,7.0,216.0,16.0,18.0,40.0,58.0,192.0,39.0,235.0,31.0,109.0,230.0,12.0,19.0,7.0,54.0,38.0,1.0,64.0,26.0,40.0,1.0,5.0,170.0,39.0,64.0,64.0,8.0,9.0,64.0,23.0,10.0,6.0,64.0,32.0,42.0,4.0,32.0,37.0,24.0
Chandigarh,17157.586843623772,1567.812463935372,0.09207210299862784,0.9083333333333333,0.4,0.0375,0.05694444444444444,0.05694444444444444,0.4222222222222222,0.5083333333333333,0.020833333333333332,8.933333333333334,0.001388888888888889,8.0,0.0,,0.0,,0.03278688524590164,1.5833333333333333,6.547955974842767,6.0,3.8106041050890176,0.8611111111111112,0.006944444444444444,0.34444444444444444,1.0,0.4125,0.7111111111111111,0.25277777777777777,0.0,0.005555555555555556,0.8166666666666667,0.5263888888888889,0.7388888888888889,0.1662162162162162,0.36585365853658536,0.7046332046332047,0.8931506849315068,0.2471042471042471,0.9609375,0.7972972972972973,0.07162162162162163,0.0,0.0,326153.3333333333,53250.0,41739.13043478261,315553.3333333333,2016.7,878408.2009132421,2.3666666666666667,10.0875,1031867.4885844749,,,,,,,243.09677419354838,783.1935483870968,1120.967741935484,8.0,1.0,2.0,4.0,18.0,0.0,4.0,0.0,5.0,0.0,9.0,1.0,5.0,0.0,17.0,0.0,2.0,42.0,9.0,3.0,13.0,21.0,16.0,10.0,81.0,7.0,10.0,63.0,0.0,5.0,4.0,10.0,12.0,0.0,6.0,4.0,15.0,0.0,1.0,28.0,9.0,9.0,10.0,3.0,0.0,7.0,2.0,2.0,5.0,11.0,6.0,10.0,0.0,6.0,11.0,5.0
Chattisgarh,8319.48381190179,216.40724094881398,0.016159844642787292,0.6301916932907349,0.051118210862619806,0.008386581469648562,0.0029952076677316293,0.0075878594249201275,0.1393769968051118,0.5013977635782748,0.24201277955271566,8.688943894389439,0.007388178913738019,4.351351351351352,0.007388178913738019,1.4054054054054055,0.056908945686900955,2.3684210526315788,0.19394663480684987,1.6139630390143738,4.783731170336037,4.0,3.3182517869657593,0.7228434504792333,0.006589456869009584,0.06070287539936102,0.8777955271565495,0.6038338658146964,0.6369808306709265,0.05730830670926518,0.001597444089456869,0.006389776357827476,0.3031150159744409,0.1361821086261981,0.6136182108626198,0.2174957461715544,0.6295444086516336,0.4258289703315881,0.6588114754098361,0.040430482838859805,0.9460431654676259,0.7424682213992594,0.020518466619957963,0.001201080972875588,0.0035031528375537983,206705.88235294117,59000.0,,192823.5294117647,2017.534098151689,162619.59163763066,2.0923566878980893,8.18967515923567,120166.35310635311,2.3457943925233646,10205.881773399014,0.019704433497536946,0.37438423645320196,0.11330049261083744,0.019704433497536946,103.0,755.6,1155.0,17.0,3.0,10.0,17.0,206.0,1.0,5.0,2.0,4.0,8.0,38.0,6.0,21.0,3.0,115.0,2.0,9.0,118.0,12.0,6.0,9.0,44.0,92.0,33.0,143.0,13.0,18.0,154.0,3.0,17.0,20.0,36.0,25.0,0.0,20.0,21.0,44.0,0.0,2.0,91.0,17.0,77.0,35.0,6.0,5.0,14.0,15.0,9.0,5.0,60.0,19.0,21.0,3.0,35.0,14.0,13.0
Dadra & Nagar Haveli and Daman & Diu,10205.078784119107,301.38709677419354,0.026454975278908593,0.8323442136498517,0.11869436201780416,0.037091988130563795,0.011869436201780416,0.016320474777448073,0.3961424332344214,0.3367952522255193,0.20474777448071216,11.043478260869565,0.0712166172106825,6.5,0.06379821958456973,2.0,0.037091988130563795,2.24,0.11013215859030837,2.04,4.741948975324132,5.0,2.842724142679041,0.5207715133531158,0.008902077151335312,0.04451038575667656,0.9792284866468842,0.2774480712166172,0.48813056379821956,0.050445103857566766,0.0,0.002967359050445104,0.37833827893175076,0.09495548961424333,0.08753709198813056,0.16294349540078842,0.45564516129032256,0.567191844300278,0.9150326797385621,0.11214087117701575,0.9917355371900827,0.8212877792378449,0.022339027595269383,0.000657030223390276,0.000657030223390276,185590.52813852814,8540.157142857142,3688.130081300813,188921.21076233184,2017.1677215189873,307457.5365418895,2.4525316455696204,9.52117088607595,279109.1055456172,2.2666666666666666,4683.333333333333,0.23333333333333334,0.06666666666666667,0.13333333333333333,0.06666666666666667,,,,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,13.0,3.0,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,1.0,0.0
Delhi,15768.98718446602,2892.051521035599,0.20034634558415051,0.8995673671199012,0.4521013597033375,0.34239802224969096,0.18046971569839307,0.23825710754017304,0.8105686032138443,0.5275030902348579,0.12021013597033374,10.339152119700747,0.04480840543881335,5.572413793103448,0.005562422744128554,1.6111111111111112,0.03337453646477132,2.925925925925926,0.1347393087287639,1.6652173913043478,6.611275964391691,6.0,3.780371547810558,0.9004944375772559,0.037082818294190356,0.2567985166872682,0.9854758961681088,0.3080964153275649,0.5948702101359703,0.12360939431396786,0.0006180469715698393,0.009579728059332509,0.865265760197775,0.7567985166872683,0.8529048207663782,0.157939308398024,0.13047363717605004,0.5979260418704755,0.9332460732984293,0.26002739189982393,0.9902182091798345,0.7367678193366267,0.011009174311926606,0.0011291460832745237,0.001834862385321101,348260.0,38600.0,0.0,328960.0,2017.4025423728813,457778.4162283997,2.1596045197740112,12.642118644067798,451232.269984917,1.5217391304347827,5154.744525547445,0.0,0.12408759124087591,0.32116788321167883,0.058394160583941604,237.58064516129033,658.8817204301075,1096.005376344086,265.0,52.0,162.0,171.0,406.0,7.0,86.0,11.0,100.0,49.0,314.0,33.0,124.0,29.0,596.0,18.0,81.0,986.0,198.0,112.0,373.0,544.0,729.0,350.0,1643.0,139.0,537.0,1572.0,61.0,131.0,106.0,336.0,301.0,20.0,84.0,167.0,521.0,1.0,45.0,1056.0,151.0,415.0,411.0,53.0,71.0,325.0,110.0,121.0,86.0,489.0,211.0,331.0,55.0,260.0,342.0,135.0
Goa,16351.457816377171,1322.6246898263028,0.07096429358763078,0.8828696925329429,0.043923865300146414,0.0029282576866764276,0.004392386530014641,0.020497803806734993,0.38945827232796487,0.4685212298682284,0.17715959004392387,7.446280991735537,0.04538799414348463,5.516129032258065,0.0014641288433382138,2.0,0.0,,0.003125,1.0,6.024305555555555,6.0,3.35483364997265,0.8872620790629575,0.0029282576866764276,0.20644216691068815,0.9780380673499268,0.2240117130307467,0.8272327964860908,0.3616398243045388,0.0029282576866764276,0.0014641288433382138,0.8682284040995608,0.6398243045387995,0.27379209370424595,0.21294363256784968,0.3480392156862745,0.5614754098360656,0.8807785888077859,0.1325136612021858,0.9175257731958762,0.7797494780793319,0.054279749478079335,0.0020876826722338203,0.0,15676.85254691689,6273.513513513513,6242.477876106194,15701.088471849866,2016.6717948717949,530557.6119402985,2.471794871794872,9.586410256410256,520155.44311377243,3.0,10000.0,0.0,0.0,0.0,0.5,40.0,390.0,750.0,11.0,0.0,4.0,5.0,13.0,0.0,1.0,1.0,2.0,4.0,14.0,1.0,5.0,1.0,29.0,1.0,7.0,26.0,12.0,10.0,10.0,14.0,49.0,11.0,40.0,1.0,6.0,67.0,1.0,10.0,3.0,18.0,14.0,0.0,10.0,4.0,18.0,0.0,2.0,39.0,6.0,10.0,16.0,3.0,1.0,5.0,0.0,1.0,3.0,15.0,2.0,3.0,1.0,14.0,39.0,4.0
Gujarat,13953.989822537385,461.1136054671712,0.026165406597985125,0.8426368952684742,0.1465532518164097,0.018784334573808258,0.007708665603402445,0.007177033492822967,0.31392876129718233,0.5043416622363991,0.2431330852383484,9.99672131147541,0.021088073719652666,4.705882352941177,0.012847776005670743,1.296551724137931,0.013999645578592948,2.088607594936709,0.16584680252986647,1.7182203389830508,4.775928907973997,4.0,3.2163273040032174,0.7011341485025696,0.01718943824206982,0.07132730816941343,0.9730639730639731,0.2571327308169413,0.7302853092326776,0.1101364522417154,0.0023923444976076554,0.009569377990430622,0.5850611376927166,0.177210703526493,0.19103313840155944,0.20426160526433593,0.4990138067061144,0.3743703157636073,0.8142435182146374,0.09528197567268706,0.9516441005802708,0.7150275303281257,0.03375262992971932,0.000850530462419983,0.0008952952235999821,53234.567901234564,11295.774647887323,1562.5,44567.9012345679,2017.2241245136188,350225.0581428985,2.3137966804979255,9.563615145228216,303908.67915214866,2.2230483271375463,8263.121495327103,0.022429906542056073,0.23177570093457944,0.17009345794392525,0.07850467289719626,208.3687150837989,670.0279329608938,975.0927374301676,115.0,53.0,67.0,105.0,837.0,0.0,48.0,6.0,86.0,45.0,333.0,42.0,337.0,22.0,744.0,6.0,79.0,429.0,164.0,38.0,327.0,321.0,656.0,306.0,1404.0,114.0,155.0,1237.0,65.0,116.0,70.0,183.0,137.0,28.0,169.0,144.0,281.0,1.0,21.0,821.0,79.0,602.0,227.0,55.0,43.0,97.0,53.0,49.0,49.0,700.0,81.0,362.0,54.0,194.0,159.0,136.0
